index,value
2021-01-04,5395.91
2021-01-05,"5,540.18"
2021-01-06,"5,609.47"
2021-01-07,"5,792.36"
2021-01-08,"6,101.13"
2021-01-11,"6,142.81"
2021-01-12,"6,051.80"
2021-01-13,"6,091.15"
2021-01-14,"6,020.21"
2021-01-15,"5,930.53"
2021-01-18,"5,735.63"
2021-01-19,"6,009.57"
2021-01-20,"6,097.96"
2021-01-21,"6,111.36"
2021-01-22,"6,250.62"
2021-01-25,"6,335.27"
2021-01-26,"6,300.98"
2021-01-27,"6,229.42"
2021-01-28,"6,134.45"
2021-01-29,"6,026.50"
2021-02-01,"6,344.14"
2021-02-02,"6,430.80"
2021-02-03,"6,517.61"
2021-02-04,"6,467.70"
2021-02-05,"6,489.13"
2021-02-08,"6,268.19"
2021-02-09,"6,285.87"
2021-02-10,"6,388.26"
2021-02-15,"6,423.43"
2021-02-16,"6,419.43"
2021-02-17,"6,500.23"
2021-02-18,"6,433.70"
2021-02-19,"6,428.19"
2021-02-22,"6,201.89"
2021-02-23,"6,076.37"
2021-02-24,"5,788.24"
2021-02-25,"5,909.47"
2021-02-26,"5,647.40"
2021-03-02,"5,786.22"
2021-03-03,"5,795.76"
2021-03-04,"5,724.85"
2021-03-05,"5,700.64"
2021-03-08,"5,508.22"
2021-03-09,"5,344.66"
2021-03-10,"5,388.49"
2021-03-11,"5,718.60"
2021-03-12,"5,765.60"
2021-03-15,"5,712.65"
2021-03-16,"5,479.08"
2021-03-17,"5,308.25"
2021-03-18,"5,357.43"
2021-03-19,"5,294.48"
2021-03-22,"5,158.36"
2021-03-23,"5,021.55"
2021-03-24,"5,104.98"
2021-03-25,"5,159.22"
2021-03-26,"5,225.69"
2021-03-29,"5,211.07"
2021-03-30,"5,416.14"
2021-03-31,"5,363.98"
2021-04-01,"5,552.07"
2021-04-02,"5,599.44"
2021-04-05,"5,518.41"
2021-04-06,"5,444.87"
2021-04-07,"5,510.68"
2021-04-08,"5,567.79"
2021-04-09,"5,576.49"
2021-04-12,"5,791.77"
2021-04-13,"6,003.12"
2021-04-14,"6,094.50"
2021-04-15,"6,085.03"
2021-04-16,"6,090.06"
2021-04-19,"6,010.75"
2021-04-20,"6,011.88"
2021-04-21,"5,888.17"
2021-04-22,"5,932.76"
