index,close,ret,nav,open,high,low,volume,volume_amount,market_total,nav_total,benchmark_close,benchmark_ret
2021-01-04,15355,11.19,15340.57,14325,15500,14140,2991685,44475455245,2.96E+11,2.96E+11,5395.91,11.22
2021-01-05,15755,2.61,15745.72,15345,15780,15155,3017967,46612733520,3.04E+11,3.07E+11,5540.18,2.67
2021-01-06,15945,1.21,15951.58,16070,16660,15755,5500053,88599628155,3.11E+11,3.26E+11,5609.47,1.25
2021-01-07,16520,3.61,16468.55,16360,16620,16010,3582210,58693334775,3.38E+11,3.63E+11,5792.36,3.26
2021-01-08,17355,5.05,17342.75,16900,17545,16770,5193491,89256047385,3.83E+11,4.23E+11,6101.13,5.33
2021-01-11,17475,0.69,17460.56,17795,18470,17000,7843778,1.40E+11,4.26E+11,4.51E+11,6142.81,0.68
2021-01-12,17215,-1.49,17198.71,17250,17525,16500,4021855,68533458630,4.45E+11,4.87E+11,6051.8,-1.48
2021-01-13,17320,0.61,17309.88,17300,17620,17000,2261765,39132650385,4.90E+11,5.57E+11,6091.15,0.65
2021-01-14,17115,-1.18,17110.23,17235,17580,17015,2498365,43306878880,5.50E+11,5.73E+11,6020.21,-1.16
2021-01-15,16865,-1.46,16854.47,17165,17415,16820,1950943,33145412535,5.65E+11,5.77E+11,5930.53,-1.49
2021-01-18,16315,-3.26,16302.2,16450,16725,16140,2194461,35984610525,5.59E+11,5.73E+11,5735.63,-3.29
2021-01-19,17055,4.54,17078.29,16360,17085,16300,1956624,32770862475,5.99E+11,6.07E+11,6009.57,4.78
2021-01-20,17320,1.55,17328.21,17550,17550,16840,1727367,29626693790,6.16E+11,6.27E+11,6097.96,1.47
2021-01-21,17375,0.32,17366.45,17505,17565,17235,1823127,31653689645,6.29E+11,6.34E+11,6111.36,0.22
2021-01-22,17770,2.27,17760.65,17400,17955,17320,3138387,55553409505,6.49E+11,6.56E+11,6250.62,2.28
2021-01-25,18010,1.35,18000.22,17875,18010,17755,2202369,39444041615,6.65E+11,6.69E+11,6335.27,1.35
2021-01-26,17920,-0.5,17902.84,18100,18230,17770,2590786,46608772955,6.66E+11,6.62E+11,6300.98,-0.54
2021-01-27,17710,-1.17,17699.8,18030,18180,17565,2295239,41029775410,6.54E+11,6.71E+11,6229.42,-1.14
2021-01-28,17375,-1.89,17429.89,17145,17495,17090,2227503,38501146395,6.59E+11,6.75E+11,6134.45,-1.52
2021-01-29,17130,-1.41,17123.73,17715,17745,16800,2562436,44365144336,6.63E+11,6.78E+11,6026.5,-1.76
2021-02-01,17950,4.79,18023.35,17165,17950,16870,2260239,39510326190,7.11E+11,7.27E+11,6344.14,5.27
2021-02-02,18260,1.73,18267.79,18295,18300,17900,2823197,51194560035,7.37E+11,7.50E+11,6430.8,1.37
2021-02-03,18515,1.4,18516.6,18335,18515,18280,2660448,48966449985,7.60E+11,7.56E+11,6517.61,1.35
2021-02-04,18385,-0.7,18371.8,18530,18570,18200,1828925,33621451610,7.51E+11,7.51E+11,6467.7,-0.77
2021-02-05,18440,0.3,18430.62,18495,18615,18000,2696904,49452438025,7.54E+11,7.54E+11,6489.13,0.33
2021-02-08,17820,-3.36,17804.61,18150,18240,17745,3606841,64676247290,7.29E+11,7.38E+11,6268.19,-3.4
2021-02-09,17870,0.28,17854.42,17980,18240,17825,1751930,31582635440,7.41E+11,7.56E+11,6285.87,0.28
2021-02-10,18150,1.57,18143.8,17980,18150,17725,1470756,26370700520,7.69E+11,8.23E+11,6388.26,1.63
2021-02-15,18250,0.55,18242.1,17985,18285,17815,2062693,37377735420,8.28E+11,8.36E+11,6423.43,0.55
2021-02-16,18245,-0.03,18230.48,18300,18310,18055,1451005,26355797940,8.37E+11,8.40E+11,6419.43,-0.06
2021-02-17,18375,0.71,18459,18280,18375,18100,1337040,24421392450,8.46E+11,8.50E+11,6500.23,1.26
2021-02-18,18295,-0.44,18269.87,18370,18470,18230,1498057,27504324645,8.42E+11,8.50E+11,6433.7,-1.02
2021-02-19,18260,-0.19,18253.27,18260,18290,17820,1523288,27457163375,8.50E+11,8.47E+11,6428.19,-0.09
2021-02-22,17630,-3.45,17611.52,18255,18255,17555,2335531,41659517165,8.18E+11,8.14E+11,6201.89,-3.52
2021-02-23,17280,-1.99,17255.48,17250,17420,16935,1361511,23450828890,7.98E+11,8.16E+11,6076.37,-2.02
2021-02-24,16440,-4.86,16439.06,17200,17300,16410,1820942,30716116235,7.78E+11,8.01E+11,5788.24,-4.74
2021-02-25,16805,2.22,16798.88,16900,16925,16550,1315482,22007938830,8.19E+11,8.14E+11,5909.47,2.09
2021-02-26,16070,-4.37,16049.6,16160,16355,15900,1732264,27906965275,7.79E+11,7.83E+11,5647.4,-4.43
2021-03-02,16450,2.36,16443.23,16610,16860,16190,1527421,25333565830,8.03E+11,8.08E+11,5786.22,2.46
2021-03-03,16455,0.03,16470.61,16355,16455,16125,730073,11898483205,8.09E+11,8.23E+11,5795.76,0.16
2021-03-04,16275,-1.09,16268.67,16420,16540,16160,817570,13356323940,8.13E+11,8.17E+11,5724.85,-1.22
2021-03-05,16205,-0.43,16199.02,15935,16400,15765,1119096,17917153750,8.13E+11,8.28E+11,5700.64,-0.42
2021-03-08,15655,-3.39,15652.75,16260,16290,15655,1147061,18292227880,8.00E+11,8.02E+11,5508.22,-3.38
2021-03-09,15200,-2.91,15188.98,15415,15470,14820,1767417,26635759940,7.79E+11,7.77E+11,5344.66,-2.97
2021-03-10,15270,0.46,15312.89,15900,15905,15250,902728,14005091650,7.81E+11,7.89E+11,5388.49,0.82
2021-03-11,16250,6.42,16249.05,15435,16295,15355,1336018,21315592335,8.38E+11,8.34E+11,5718.6,6.13
2021-03-12,16380,0.8,16382.23,16605,16620,16240,1047954,17175268770,8.40E+11,8.45E+11,5765.6,0.82
2021-03-15,16215,-1.01,16231.65,16330,16465,16135,519784,8460007315,8.36E+11,8.30E+11,5712.65,-0.92
2021-03-16,15560,-4.04,15569.48,15850,15965,15390,2592060,40361800620,7.96E+11,8.02E+11,5479.08,-4.09
2021-03-17,15055,-3.25,15084.7,15400,15410,14860,1762923,26612449980,7.75E+11,7.77E+11,5308.25,-3.12
2021-03-18,15220,1.1,15224.17,15320,15455,15190,731093,11180885075,7.84E+11,7.92E+11,5357.43,0.93
2021-03-19,15035,-1.22,15045.37,14865,15050,14800,627727,9348519920,7.82E+11,7.82E+11,5294.48,-1.18
2021-03-22,14605,-2.86,14659.16,14940,14965,14500,1276340,18670408185,7.59E+11,7.65E+11,5158.36,-2.57
2021-03-23,14260,-2.36,14271.05,14725,14820,14230,784601,11342264835,7.44E+11,7.49E+11,5021.55,-2.65
2021-03-24,14470,1.47,14507.53,14110,14560,14085,877217,12653962220,7.60E+11,7.58E+11,5104.98,1.66
2021-03-25,14655,1.28,14661.23,14560,14825,14500,564887,8290355950,7.66E+11,7.67E+11,5159.22,1.06
2021-03-26,14820,1.13,14849.25,14790,14825,14525,460426,6764434955,7.75E+11,7.74E+11,5225.69,1.29
2021-03-29,14790,-0.2,14807.69,14895,14915,14665,441452,6537832790,7.71E+11,7.72E+11,5211.07,-0.28
2021-03-30,15345,3.75,15389.26,14850,15365,14750,757469,11494206320,8.00E+11,8.03E+11,5416.14,3.94
2021-03-31,15230,-0.75,15240.97,15455,15480,15215,416463,6371242575,7.94E+11,7.95E+11,5363.98,-0.96
2021-04-01,15735,3.32,15774.28,15500,15895,15495,980946,15403780510,8.21E+11,8.19E+11,5552.07,3.51
2021-04-02,15915,1.14,15907.98,15905,15980,15780,735547,11688871345,8.27E+11,8.28E+11,5599.44,0.85
2021-04-05,15675,-1.51,15677.91,15900,15900,15640,676062,10612931810,8.16E+11,8.14E+11,5518.41,-1.45
2021-04-06,15470,-1.31,15469.1,15770,15775,15370,699520,10830913020,8.04E+11,8.07E+11,5444.87,-1.33
2021-04-07,15660,1.23,15655.7,15570,15970,15510,701424,11026851675,8.17E+11,8.21E+11,5510.68,1.21
2021-04-08,15770,0.7,15817.51,15705,15795,15520,489497,7652000885,8.27E+11,8.34E+11,5567.79,1.04
2021-04-09,15785,0.1,15841.65,15795,15915,15730,535204,8457776560,8.32E+11,8.33E+11,5576.49,0.16
2021-04-12,16405,3.93,16452.14,16750,16780,16280,2090559,34715890770,8.63E+11,8.65E+11,5791.77,3.86
2021-04-13,17050,3.93,17051.3,16550,17090,16540,1779185,30108003070,8.97E+11,8.96E+11,6003.12,3.65
2021-04-14,17300,1.47,17310.18,17315,17340,17020,1131323,19461727890,9.09E+11,8.86E+11,6094.5,1.52
2021-04-15,17275,-0.14,17283.18,17290,17310,17070,920756,15870492375,8.84E+11,8.71E+11,6085.03,-0.16
2021-04-16,17295,0.12,17296.75,17340,17430,17235,797052,13800711795,8.72E+11,8.70E+11,6090.06,0.08
2021-04-19,17075,-1.27,17071.66,17300,17300,17055,756429,12981325000,8.59E+11,8.61E+11,6010.75,-1.3
2021-04-20,17065,-0.06,17074.63,17055,17070,16900,521385,8863969725,8.61E+11,8.63E+11,6011.88,0.02
2021-04-21,16740,-1.9,16723.61,16950,16985,16675,706247,11837201475,8.46E+11,8.50E+11,5888.17,-2.06
2021-04-22,16860,0.72,16849.9,16905,16990,16790,551727,9320026390,8.57E+11,8.56E+11,5932.76,0.76
2021-04-23,16845,-0.09,16897.41,16750,16975,16545,624090,10502617480,8.56E+11,8.61E+11,5949.72,0.29
2021-04-26,17090,1.45,17156.62,16930,17115,16765,748090,12710567025,8.71E+11,8.74E+11,6041.15,1.54
2021-04-27,17120,0.18,17175.34,17170,17245,17055,752058,12896562185,8.72E+11,8.76E+11,6047.86,0.11
2021-04-28,16760,-2.1,16764.69,17070,17070,16700,715226,12001860335,8.55E+11,8.87E+11,5904.98,-2.36
2021-04-29,17070,1.88,17140.95,16840,17390,16840,1729575,29735457420,9.03E+11,9.07E+11,6037.88,2.25
2021-04-30,16830,-1.41,16814.98,17085,17085,16690,567664,9556517000,8.90E+11,8.90E+11,5923.15,-1.9
2021-05-03,16225,-3.59,16216.53,16725,16775,16155,906743,14826400940,8.58E+11,8.14E+11,5712.25,-3.56
2021-05-04,16700,2.93,16747.75,16035,16705,16035,720140,11827392365,8.38E+11,8.42E+11,5899.67,3.28
2021-05-06,16860,0.96,16921.67,16605,16870,16595,532340,8936555415,8.48E+11,8.55E+11,5961.13,1.04
2021-05-07,16845,-0.09,16891.85,16920,17050,16845,467379,7915814205,8.51E+11,8.49E+11,5950.76,-0.17
2021-05-10,16885,0.24,16889.58,17085,17105,16855,724531,12300027545,8.48E+11,8.44E+11,5949.98,-0.01
2021-05-11,16540,-2.04,16532.61,16730,16800,16480,741612,12292210765,8.27E+11,8.24E+11,5824.23,-2.11
2021-05-12,16140,-2.42,16179.69,16530,16530,15990,791241,12841283390,8.05E+11,8.00E+11,5699.76,-2.14
2021-05-13,15675,-2.88,15660.41,15755,15975,15540,1056094,16628644960,7.75E+11,7.79E+11,5516.83,-3.21
2021-05-14,16075,2.55,16082.29,15800,16160,15790,513248,8208371940,8.00E+11,8.02E+11,5665.68,2.7
2021-05-17,16100,0.16,16122.8,16230,16315,16020,515683,8340972060,8.03E+11,8.04E+11,5680.06,0.25
2021-05-18,16290,1.18,16345.86,16165,16355,16125,362003,5892690530,8.12E+11,8.15E+11,5758.87,1.39
2021-05-20,16490,1.23,16551.56,16430,16545,16290,654504,10754715285,8.22E+11,8.22E+11,5831.48,1.26
2021-05-21,16570,0.49,16580.33,16725,16755,16385,580703,9620057895,8.23E+11,8.23E+11,5841.78,0.18
2021-05-24,16355,-1.3,16352.39,16565,16565,16290,306688,5021454470,8.12E+11,8.12E+11,5761.49,-1.37
2021-05-25,16410,0.34,16464.53,16425,16475,16355,518637,8516524700,8.15E+11,8.17E+11,5801.05,0.69
2021-05-26,16135,-1.68,16170.21,16410,16445,16115,535091,8698469805,8.01E+11,8.04E+11,5697.19,-1.79
2021-05-27,16110,-0.15,16097.6,16105,16170,15840,942827,15058479900,8.01E+11,8.00E+11,5671.56,-0.45
2021-05-28,16185,0.47,16217.49,16205,16250,16110,444740,7202136355,8.04E+11,8.06E+11,5714.08,0.75
2021-05-31,15760,-2.63,15773.37,16180,16180,15630,1176620,18554788600,7.83E+11,7.84E+11,5557.6,-2.74
2021-06-01,15800,0.25,15839.53,15730,15895,15670,702206,11092493160,7.85E+11,7.87E+11,5580.99,0.42
2021-06-02,15740,-0.38,15743.17,15875,15875,15670,504214,7943673990,7.82E+11,7.88E+11,5547.03,-0.61
2021-06-03,15915,1.11,15962.41,15720,15945,15695,422884,6711111015,7.97E+11,7.97E+11,5624.38,1.39
2021-06-04,15955,0.25,15950.04,15855,15955,15780,359462,5708586650,7.97E+11,7.97E+11,5620.18,-0.07
2021-06-07,15970,0.09,16035.75,15980,16085,15890,398995,6372342810,7.98E+11,7.99E+11,5650.45,0.54
2021-06-08,15850,-0.75,15856.07,15970,15975,15825,353468,5611543920,7.90E+11,7.90E+11,5587.16,-1.12
2021-06-09,15775,-0.47,15813.9,15850,15905,15740,284932,4506633180,7.86E+11,7.88E+11,5572.36,-0.26
2021-06-10,15850,0.48,15836.37,15860,15870,15630,342126,5388460585,7.90E+11,7.89E+11,5580.32,0.14
2021-06-11,16305,2.87,16381.31,15910,16305,15885,1197700,19429878670,8.13E+11,8.17E+11,5772.62,3.45
2021-06-14,16360,0.34,16372.56,16330,16370,16220,570209,9302184510,8.16E+11,8.17E+11,5769.57,-0.05
2021-06-15,16505,0.89,16572.05,16440,16650,16425,889797,14714586865,8.24E+11,8.18E+11,5839.6,1.21
